Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons,
25-10-19,78613,Multi-Family,23000,
24-10-13,78613,Irrigation - Multi-Family,11000,
09-02-11,78617,Multi-Family,2477000,
17-04-19,78617,Residential,19962500,
24-03-18,78652,Irrigation - Residential,38500,
08-01-18,78652,Residential,632300,
28-05-12,78652,Multi-Family,116900,
26-08-16,78653,Multi-Family,194500,
10-09-09,78653,Residential,2577800,
09-12-10,78660,Residential,7226400,
13-12-11,78660,Multi-Family,3805800,
20-09-18,78701,Irrigation - Multi-Family,182600,
29-03-11,78701,Multi-Family,12057400,
10-07-14,78701,Residential,1180900,
28-01-18,78702,Irrigation - Residential,,
13-06-12,78702,Residential,28357400,
03-07-14,78702,Irrigation - Multi-Family,349400,
10-02-19,78702,Multi-Family,10097500,
19-05-19,78703,Multi-Family,13884400,
10-05-10,78703,Residential,43033500,
26-10-09,78703,Irrigation - Multi-Family,433700,
25-07-10,78703,Irrigation - Residential,784300,
29-10-16,78704,Irrigation - Multi-Family,836600,
04-12-09,78704,Multi-Family,48585100,
30-09-17,78704,Residential,41373500,
19-03-14,78704,Irrigation - Residential,104800,
29-05-17,78705,Irrigation - Multi-Family,364100,
13-09-11,78705,Irrigation - Residential,28100,
22-03-12,78705,Residential,8258300,
24-09-17,78705,Multi-Family,22270200,
21-07-19,78717,Irrigation - Multi-Family,1415700,
31-07-13,78717,Residential,24385200,
16-11-19,78717,Irrigation - Residential,,
15-04-13,78717,Multi-Family,7693500,
03-03-14,78719,Residential,1631000,
21-12-10,78719,Multi-Family,772700,
31-12-08,78721,Multi-Family,5109300,
08-07-19,78721,Residential,15838100,
07-01-10,78721,Irrigation - Residential,5900,
07-11-19,78721,Irrigation - Multi-Family,,
07-04-09,78722,Multi-Family,2846100,
24-06-19,78722,Irrigation - Multi-Family,41700,
04-05-17,78722,Residential,8121100,
01-05-14,78722,Irrigation - Residential,,
06-07-17,78723,Irrigation - Multi-Family,180700,
20-02-12,78723,Residential,33487000,
17-09-12,78723,Multi-Family,21808300,
18-09-18,78724,Irrigation - Residential,18800,
10-06-16,78724,Multi-Family,11720800,
24-03-15,78724,Irrigation - Multi-Family,393100,
14-01-13,78724,Residential,21187700,
12-06-12,78725,Irrigation - Multi-Family,,
23-02-19,78725,Residential,2119300,
14-10-18,78725,Multi-Family,293600,
06-10-10,78726,Multi-Family,11858900,
21-06-12,78726,Irrigation - Residential,2900,
17-11-12,78726,Irrigation - Multi-Family,1998700,
09-10-18,78726,Residential,13720800,
08-05-11,78727,Irrigation - Multi-Family,1874400,
25-11-14,78727,Irrigation - Residential,1000,
27-11-19,78727,Multi-Family,21880600,
01-12-17,78727,Residential,34692800,
18-12-17,78728,Irrigation - Multi-Family,301300,
07-06-09,78728,Multi-Family,7676600,
26-10-18,78728,Residential,3602300,
06-01-14,78729,Irrigation - Residential,1800,
28-04-14,78729,Multi-Family,21389000,
07-09-13,78729,Residential,19736700,
27-07-18,78729,Irrigation - Multi-Family,1315600,
16-02-18,78730,Irrigation - Residential,224700,
04-07-13,78730,Residential,5074900,
01-01-18,78730,Irrigation - Multi-Family,502200,
27-03-14,78730,Multi-Family,5260500,
30-10-17,78731,Residential,51030100,
09-07-14,78731,Irrigation - Multi-Family,660300,
19-10-15,78731,Irrigation - Residential,209300,
14-10-19,78731,Multi-Family,17987800,
19-05-09,78732,Residential,4100,
27-10-16,78733,Residential,24400,
12-06-13,78735,Multi-Family,9993800,
08-01-19,78735,Irrigation - Multi-Family,819400,
22-12-17,78735,Residential,16520800,
27-06-16,78736,Irrigation - Residential,2300,
20-09-09,78736,Residential,11189600,
13-11-18,78736,Irrigation - Multi-Family,157900,
12-05-12,78736,Multi-Family,2744700,
28-04-13,78737,Residential,4512000,
24-08-09,78737,Irrigation - Residential,5200,
22-11-12,78738,Residential,7500,
23-12-14,78739,Residential,32822500,
12-05-17,78739,Irrigation - Residential,,
03-11-19,78741,Irrigation - Residential,4600,
26-03-18,78741,Multi-Family,77097400,
20-12-13,78741,Residential,18864300,
01-02-15,78741,Irrigation - Multi-Family,1931100,
07-01-13,78742,Residential,565900,
04-02-10,78742,Multi-Family,387000,
25-05-12,78744,Irrigation - Residential,2500,
29-01-15,78744,Multi-Family,23982200,
01-03-11,78744,Residential,52151000,
20-02-11,78744,Irrigation - Multi-Family,577000,
06-03-16,78745,Multi-Family,32377300,
16-11-15,78745,Irrigation - Residential,10500,
31-07-12,78745,Irrigation - Multi-Family,847100,
20-10-15,78745,Residential,75027500,
20-08-15,78746,Multi-Family,12406100,
03-12-09,78746,Irrigation - Multi-Family,373500,
